position	percentil	lag	tasa_media	anio
0.48	178.5776000000001	35.08820000000007	0.06170797678359974	2016
0.49	550.1410000000003	178.5776000000001	0.071011958427217	2016
0.5	1200	550.1410000000003	0.07216851242864501	2016
0.51	2078.1283999999973	1200	0.12381339442735945	2016
0.52	3176.0095999999994	2078.1283999999973	0.10659424236070139	2016
0.53	4469.180000000008	3176.0095999999994	0.33129631621865135	2016
0.54	5894.196400000001	4469.180000000008	0.10014187263105728	2016
0.55	7415.762000000008	5894.196400000001	0.1107585216624661	2016
0.56	9255.509600000001	7415.762000000008	0.11733061618741278	2016
0.5700000000000001	11440.756000000023	9255.509600000001	0.10679656852274784	2016
0.58	13785.479999999996	11440.756000000023	0.2134725779939817	2016
0.59	16308.693999999992	13785.479999999996	0.1331490423827001	2016
0.6	19262.411999999986	16308.693999999992	0.3269468662350215	2016
0.61	22513.260400000014	19262.411999999986	0.709456085663541	2016
0.62	26249.970400000002	22513.260400000014	0.10866275261043425	2016
0.63	30220.251599999996	26249.970400000002	0.12502652110447585	2016
0.64	34695.570799999994	30220.251599999996	0.18278919673909516	2016
0.65	39643.96700000001	34695.570799999994	0.2337894452318792	2016
0.66	44811.9488	39643.96700000001	0.16617374530204865	2016
0.67	50562.10680000005	44811.9488	0.14454601943058978	2016
0.68	57205.8928	50562.10680000005	0.17759127685307133	2016
0.6900000000000001	64178.51400000001	57205.8928	0.16263790172902426	2016
0.7000000000000001	71997.74400000004	64178.51400000001	0.1661858805072747	2016
0.71	80463.25779999996	71997.74400000004	0.22129081820752694	2016
0.72	90006.14559999997	80463.25779999996	0.5543373541898111	2016
0.73	100503.31360000004	90006.14559999997	0.35388572754647685	2016
0.74	111510.52480000001	100503.31360000004	0.25377810555052666	2016
0.75	123975.05	111510.52480000001	0.222078280051453	2016
0.76	137992.85799999998	123975.05	0.19696461994062509	2016
0.77	154258.77539999995	137992.85799999998	1.7038090921651516	2016
0.78	171882.9440000001	154258.77539999995	0.24135098992755075	2016
0.79	191749.4228	171882.9440000001	0.27384341995441963	2016
0.8	212999.32	191749.4228	3.4471467987081987	2016
0.81	238800.7744	212999.32	4.302511615153189	2016
0.8200000000000001	266198.67280000035	238800.7744	0.30208182304401543	2016
0.8300000000000001	298918.9676000002	266198.67280000035	0.2580638436664913	2016
0.84	336807.8403999998	298918.9676000002	0.38955231763793563	2016
0.85	381145.9919999996	336807.8403999998	0.26525269813198493	2016
0.86	431588.93640000024	381145.9919999996	0.4029378651192417	2016
0.87	494211.11600000015	431588.93640000024	0.3387751806936366	2016
0.88	563435.2544	494211.11600000015	0.3314251640309979	2016
0.89	651094.0082	563435.2544	0.7289363664633285	2016
0.9	758808.3480000009	651094.0082	0.31572339102316455	2016
0.91	887454.5898000004	758808.3480000009	4.872322186343249	2016
0.92	1053158.7964000006	887454.5898000004	0.45016752798668774	2016
0.93	1273789.8442000067	1053158.7964000006	785.5899716190517	2016
0.9400000000000001	1580176.1728000017	1273789.8442000067	0.9399676942941558	2016
0.9500000000000001	2024057.453	1580176.1728000017	0.5007833873443783	2016
0.96	2672218.8772000065	2024057.453	0.36543086819347836	2016
0.97	3724541.4806000036	2672218.8772000065	0.3945757470694942	2016
0.98	6032840.928800014	3724541.4806000036	0.45887713610328723	2016
0.99	12716625.82500001	6032840.928800014	0.8851713876135491	2016
0.99	12716625.82500001	12716625.82500001	NA	2016
0.991	14227660.20165996	12716625.82500001	0.4455915395134686	2016
0.992	16043734.150639972	14227660.20165996	0.41664048123191855	2016
0.993	18842009.912780188	16043734.150639972	0.3436454366189034	2016
0.994	22188669.68027984	18842009.912780188	0.2606548892706135	2016
0.995	27094885.378200002	22188669.68027984	0.42627731317764805	2016
0.996	34332118.24000051	27094885.378200002	0.31298472289773477	2016
0.997	45369594.82585969	34332118.24000051	0.24580596759423298	2016
0.998	65201426.083681196	45369594.82585969	0.2507109796012269	2016
0.999	126351296.80319786	65201426.083681196	0.24088114621665338	2016
1	8212957316.62	126351296.80319786	0.3444799928183897	2016
